log,max_bonddim,status,step,phase,seconds,krylov_nobs,krylov_min,krylov_max,krylov_mean
H77_T4_m8.log,8,completed,70,normal,46.575549,194,11,13,12.649484536082474
H77_T4_m8.log,8,completed,71,normal,46.222322,194,11,13,12.639175257731958
H77_T4_m8.log,8,completed,72,normal,46.171696,194,11,13,12.639175257731958
H77_T4_m8.log,8,completed,73,normal,46.663036,194,11,13,12.639175257731958
H77_T4_m8.log,8,completed,74,normal,46.414207,194,11,13,12.639175257731958
H77_T4_m8.log,8,completed,75,normal,46.391825,194,11,13,12.628865979381443
H77_T4_m8.log,8,completed,76,normal,46.274056,194,11,13,12.628865979381443
H77_T4_m8.log,8,completed,77,normal,47.008584,194,11,13,12.628865979381443
H77_T4_m8.log,8,completed,78,normal,46.466620,194,11,13,12.618556701030927
H77_T4_m8.log,8,completed,79,normal,46.713502,194,11,13,12.618556701030927
H77_T4_m8.log,8,completed,80,normal,46.752509,194,11,13,12.618556701030927
H77_T4_m8.log,8,completed,81,normal,46.876303,194,11,13,12.618556701030927
H77_T4_m8.log,8,completed,82,normal,46.828927,194,11,13,12.618556701030927
H77_T4_m8.log,8,completed,83,normal,46.863600,194,11,13,12.608247422680412
H77_T4_m8.log,8,completed,84,normal,46.304926,194,11,13,12.608247422680412
H77_T4_m8.log,8,completed,85,normal,46.605915,194,11,13,12.608247422680412
H77_T4_m8.log,8,completed,86,normal,46.591409,194,11,13,12.587628865979381
H77_T4_m8.log,8,completed,87,normal,47.009516,194,11,13,12.577319587628866
H77_T4_m8.log,8,completed,88,normal,46.777289,194,11,13,12.56701030927835
H77_T4_m8.log,8,completed,89,normal,46.780431,194,11,13,12.525773195876289
H77_T4_m8.log,8,completed,90,normal,46.884071,194,11,13,12.525773195876289
H77_T4_m8.log,8,completed,91,normal,47.014707,194,11,13,12.525773195876289
H77_T4_m8.log,8,completed,92,normal,46.712115,194,11,13,12.536082474226804
H77_T4_m8.log,8,completed,93,normal,46.910956,194,11,13,12.54639175257732
H77_T4_m8.log,8,completed,94,normal,46.926869,194,11,13,12.54639175257732
H77_T4_m8.log,8,completed,95,normal,46.890723,194,11,13,12.54639175257732
H77_T4_m8.log,8,completed,96,normal,46.841443,194,11,13,12.54639175257732
H77_T4_m8.log,8,completed,97,normal,46.701188,194,11,13,12.54639175257732
H77_T4_m8.log,8,completed,98,normal,46.595065,194,11,13,12.54639175257732
H77_T4_m8.log,8,completed,99,normal,47.051482,194,11,13,12.536082474226804
H77_T4_m8.log,8,completed,100,normal,46.720411,194,11,13,12.505154639175258
H77_T4_m8.log,8,completed,101,normal,46.893822,194,11,13,12.505154639175258
H77_T4_m8.log,8,completed,102,normal,47.002862,194,11,13,12.505154639175258
H77_T4_m8.log,8,completed,103,normal,46.828140,194,11,13,12.505154639175258
H77_T4_m8.log,8,completed,104,normal,46.869723,194,11,13,12.494845360824742
H77_T4_m8.log,8,completed,105,normal,46.823165,194,11,13,12.494845360824742
H77_T4_m8.log,8,completed,106,normal,46.655295,194,11,13,12.484536082474227
H77_T4_m8.log,8,completed,107,normal,46.844840,194,11,13,12.484536082474227
H77_T4_m8.log,8,completed,108,normal,46.815446,194,11,13,12.474226804123711
H77_T4_m8.log,8,completed,109,normal,46.867502,194,11,13,12.494845360824742
H77_T4_m8.log,8,completed,110,normal,46.791712,194,11,13,12.494845360824742
H77_T4_m8.log,8,completed,111,normal,46.942792,194,11,13,12.505154639175258
H77_T4_m8.log,8,completed,112,normal,46.589866,194,11,13,12.505154639175258
H77_T4_m8.log,8,completed,113,normal,46.343008,194,11,13,12.505154639175258
H77_T4_m8.log,8,completed,114,normal,46.318618,194,11,13,12.505154639175258
H77_T4_m8.log,8,completed,115,normal,46.669877,194,11,13,12.505154639175258
H77_T4_m8.log,8,completed,116,normal,46.511219,194,11,13,12.505154639175258
H77_T4_m8.log,8,completed,117,normal,46.489283,194,11,13,12.505154639175258
H77_T4_m8.log,8,completed,118,normal,46.696244,194,11,13,12.505154639175258
H77_T4_m8.log,8,completed,119,normal,46.780631,194,11,13,12.505154639175258
H77_T4_m8.log,8,completed,120,normal,46.783482,194,11,13,12.505154639175258
H77_T4_m8.log,8,completed,121,normal,46.808673,194,11,13,12.505154639175258
H77_T4_m8.log,8,completed,122,normal,46.519731,194,11,13,12.505154639175258
H77_T4_m8.log,8,completed,123,normal,46.827315,194,11,13,12.505154639175258
H77_T4_m8.log,8,completed,124,normal,46.727485,194,11,13,12.505154639175258
H77_T4_m8.log,8,completed,125,normal,46.910092,194,11,13,12.505154639175258
H77_T4_m8.log,8,completed,126,normal,46.910535,194,11,13,12.505154639175258
H77_T4_m8.log,8,completed,127,normal,47.078688,194,11,13,12.505154639175258
H77_T4_m8.log,8,completed,128,normal,46.952418,194,11,13,12.505154639175258
H77_T4_m8.log,8,completed,129,normal,46.955799,194,11,13,12.505154639175258
H77_T4_m8.log,8,completed,130,normal,46.712088,194,11,13,12.505154639175258
H77_T4_m8.log,8,completed,131,normal,46.905651,194,11,13,12.505154639175258
H77_T4_m8.log,8,completed,132,normal,46.502505,194,11,13,12.505154639175258
H77_T4_m8.log,8,completed,133,normal,46.646288,194,11,13,12.505154639175258
H77_T4_m8.log,8,completed,134,normal,46.667527,194,11,13,12.505154639175258
H77_T4_m8.log,8,completed,135,normal,46.556012,194,11,13,12.505154639175258
H77_T4_m8.log,8,completed,136,normal,46.611021,194,11,13,12.505154639175258
H77_T4_m8.log,8,completed,137,normal,46.682149,194,11,13,12.494845360824742
H77_T4_m8.log,8,completed,138,normal,46.650937,194,11,13,12.484536082474227
H77_T4_m8.log,8,completed,139,normal,46.564418,194,11,13,12.484536082474227
H77_T4_m8.log,8,completed,140,normal,46.475108,194,11,13,12.484536082474227
H77_T4_m8.log,8,completed,141,normal,46.679543,194,11,13,12.474226804123711
H77_T4_m8.log,8,completed,142,normal,46.512540,194,11,13,12.474226804123711
H77_T4_m8.log,8,completed,143,normal,46.562799,194,11,13,12.463917525773196
H77_T4_m8.log,8,completed,144,normal,46.259180,194,11,13,12.45360824742268
H77_T4_m8.log,8,completed,145,normal,46.171963,194,11,13,12.45360824742268
H77_T4_m8.log,8,completed,146,normal,46.144944,194,11,13,12.45360824742268
H77_T4_m8.log,8,completed,147,normal,46.342130,194,11,13,12.45360824742268
H77_T4_m8.log,8,completed,148,normal,46.608253,194,11,13,12.45360824742268
H77_T4_m8.log,8,completed,149,normal,46.617644,194,11,13,12.45360824742268
H77_T4_m8.log,8,completed,150,normal,46.537059,194,11,13,12.43298969072165
H77_T4_m8.log,8,completed,151,normal,46.610564,194,11,13,12.43298969072165
H77_T4_m8.log,8,completed,152,normal,46.934860,194,11,13,12.422680412371134
H77_T4_m8.log,8,completed,153,normal,46.585634,194,11,13,12.422680412371134
H77_T4_m8.log,8,completed,154,normal,46.277168,194,11,13,12.422680412371134
H77_T4_m8.log,8,completed,155,normal,46.483726,194,11,13,12.422680412371134
H77_T4_m8.log,8,completed,156,normal,46.392116,194,11,13,12.43298969072165
H77_T4_m8.log,8,completed,157,normal,46.879230,194,11,13,12.443298969072165
H77_T4_m8.log,8,completed,158,normal,46.314179,194,11,13,12.43298969072165
H77_T4_m8.log,8,completed,159,normal,46.349466,194,11,13,12.43298969072165
H77_T4_m8.log,8,completed,160,normal,46.770442,194,11,13,12.43298969072165
H77_T4_m8.log,8,completed,161,normal,46.993354,194,11,13,12.43298969072165
H77_T4_m8.log,8,completed,162,normal,47.037739,194,11,13,12.43298969072165
H77_T4_m8.log,8,completed,163,normal,46.611779,194,11,13,12.43298969072165
H77_T4_m8.log,8,completed,164,normal,46.358591,194,11,13,12.43298969072165
H77_T4_m8.log,8,completed,165,normal,46.988891,194,11,13,12.43298969072165
H77_T4_m8.log,8,completed,166,normal,46.609767,194,11,13,12.43298969072165
H77_T4_m8.log,8,completed,167,normal,46.767697,194,11,13,12.43298969072165
H77_T4_m8.log,8,completed,168,normal,46.746917,194,11,13,12.43298969072165
H77_T4_m8.log,8,completed,169,normal,46.896837,194,11,13,12.43298969072165
H77_T4_m8.log,8,completed,170,normal,46.837347,194,11,13,12.443298969072165
H77_T4_m8.log,8,completed,171,normal,47.205486,194,11,13,12.45360824742268
H77_T4_m8.log,8,completed,172,normal,46.882657,194,11,13,12.43298969072165
H77_T4_m8.log,8,completed,173,normal,46.651784,194,11,13,12.422680412371134
H77_T4_m8.log,8,completed,174,normal,46.341727,194,11,13,12.412371134020619
H77_T4_m8.log,8,completed,175,normal,46.265315,194,11,13,12.402061855670103
H77_T4_m8.log,8,completed,176,normal,46.212251,194,11,13,12.402061855670103
H77_T4_m8.log,8,completed,177,normal,46.335035,194,11,13,12.402061855670103
H77_T4_m8.log,8,completed,178,normal,46.985577,194,11,13,12.402061855670103
H77_T4_m8.log,8,completed,179,normal,47.004019,194,11,13,12.402061855670103
H77_T4_m8.log,8,completed,180,normal,46.702182,194,11,13,12.402061855670103
H77_T4_m8.log,8,completed,181,normal,46.154686,194,11,13,12.402061855670103
H77_T4_m8.log,8,completed,182,normal,46.080526,194,11,13,12.402061855670103
H77_T4_m8.log,8,completed,183,normal,46.306121,194,11,13,12.402061855670103
H77_T4_m8.log,8,completed,184,normal,46.198742,194,11,13,12.381443298969073
H77_T4_m8.log,8,completed,185,normal,46.259908,194,11,13,12.371134020618557
H77_T4_m8.log,8,completed,186,normal,46.190177,194,11,13,12.371134020618557
H77_T4_m8.log,8,completed,187,normal,47.038268,194,11,13,12.371134020618557
H77_T4_m8.log,8,completed,188,normal,46.516662,194,11,13,12.371134020618557
H77_T4_m8.log,8,completed,189,normal,46.528315,194,11,13,12.371134020618557
H77_T4_m8.log,8,completed,190,normal,46.328516,194,11,13,12.371134020618557
H77_T4_m8.log,8,completed,191,normal,46.617117,194,11,13,12.371134020618557
H77_T4_m8.log,8,completed,192,normal,46.382161,194,11,13,12.371134020618557
H77_T4_m8.log,8,completed,193,normal,46.268351,194,11,13,12.360824742268042
H77_T4_m8.log,8,completed,194,normal,46.228114,194,11,13,12.360824742268042
H77_T4_m8.log,8,completed,195,normal,46.760229,194,11,13,12.350515463917526
H77_T4_m8.log,8,completed,196,normal,46.750446,194,11,13,12.350515463917526
H77_T4_m8.log,8,completed,197,normal,47.270404,194,11,13,12.350515463917526
H77_T4_m8.log,8,completed,198,normal,46.553146,194,11,13,12.350515463917526
H77_T4_m8.log,8,completed,199,normal,46.715450,194,11,13,12.350515463917526
H77_T4_m8.log,8,completed,200,normal,46.890953,194,11,13,12.350515463917526
H77_T4_m8.log,8,completed,201,normal,46.741135,194,11,13,12.350515463917526
H77_T4_m8.log,8,completed,202,normal,46.578837,194,11,13,12.350515463917526
H77_T4_m8.log,8,completed,203,normal,46.716058,194,11,13,12.350515463917526
H77_T4_m8.log,8,completed,204,normal,46.561202,194,11,13,12.350515463917526
H77_T4_m8.log,8,completed,205,normal,47.081157,194,11,13,12.350515463917526
H77_T4_m8.log,8,completed,206,normal,46.619962,194,11,13,12.34020618556701
H77_T4_m8.log,8,completed,207,normal,46.387657,194,11,13,12.329896907216495
H77_T4_m8.log,8,completed,208,normal,46.615450,194,11,13,12.329896907216495
H77_T4_m8.log,8,completed,209,normal,46.806696,194,11,13,12.329896907216495
H77_T4_m8.log,8,completed,210,normal,46.765244,194,11,13,12.329896907216495
H77_T4_m8.log,8,completed,211,normal,46.661852,194,11,13,12.329896907216495
H77_T4_m8.log,8,completed,212,normal,46.452403,194,11,13,12.329896907216495
H77_T4_m8.log,8,completed,213,normal,46.913898,194,11,13,12.329896907216495
H77_T4_m8.log,8,completed,214,normal,46.950321,194,11,13,12.329896907216495
H77_T4_m8.log,8,completed,215,normal,46.749454,194,11,13,12.329896907216495
H77_T4_m8.log,8,completed,216,normal,46.878834,194,11,13,12.329896907216495
H77_T4_m8.log,8,completed,217,normal,46.775600,194,11,13,12.329896907216495
H77_T4_m8.log,8,completed,218,normal,46.328892,194,11,13,12.329896907216495
H77_T4_m8.log,8,completed,219,normal,46.314169,194,11,13,12.31958762886598
H77_T4_m8.log,8,completed,220,normal,46.107213,194,11,13,12.31958762886598
H77_T4_m8.log,8,completed,221,normal,46.664187,194,11,13,12.309278350515465
H77_T4_m8.log,8,completed,222,normal,46.469776,194,11,13,12.309278350515465
H77_T4_m8.log,8,completed,223,normal,46.530193,194,11,13,12.309278350515465
H77_T4_m8.log,8,completed,224,normal,46.421343,194,11,13,12.309278350515465
H77_T4_m8.log,8,completed,225,normal,46.290969,194,11,13,12.309278350515465
H77_T4_m8.log,8,completed,226,normal,46.299599,194,11,13,12.309278350515465
H77_T4_m8.log,8,completed,227,normal,46.510276,194,11,13,12.29896907216495
H77_T4_m8.log,8,completed,228,normal,46.171823,194,11,13,12.29896907216495
H77_T4_m8.log,8,completed,229,normal,46.623085,194,11,13,12.29896907216495
H77_T4_m8.log,8,completed,230,normal,46.615033,194,11,13,12.29896907216495
H77_T4_m8.log,8,completed,231,normal,46.574663,194,11,13,12.29896907216495
H77_T4_m8.log,8,completed,232,normal,46.236217,194,11,13,12.29896907216495
H77_T4_m8.log,8,completed,233,normal,46.364034,194,11,13,12.29896907216495
H77_T4_m8.log,8,completed,234,normal,46.328416,194,11,13,12.29896907216495
H77_T4_m8.log,8,completed,235,normal,46.279198,194,11,13,12.288659793814434
H77_T4_m8.log,8,completed,236,normal,46.048347,194,11,13,12.288659793814434
H77_T4_m8.log,8,completed,237,normal,46.271394,194,11,13,12.288659793814434
H77_T4_m8.log,8,completed,238,normal,46.572271,194,11,13,12.288659793814434
H77_T4_m8.log,8,completed,239,normal,46.645776,194,11,13,12.288659793814434
H77_T4_m8.log,8,completed,240,normal,46.553801,194,11,13,12.278350515463918
H77_T4_m8.log,8,completed,241,normal,46.536706,194,11,13,12.278350515463918
H77_T4_m8.log,8,completed,242,normal,46.170585,194,11,13,12.278350515463918
H77_T4_m8.log,8,completed,243,normal,46.522366,194,11,13,12.278350515463918
H77_T4_m8.log,8,completed,244,normal,46.293944,194,11,13,12.278350515463918
H77_T4_m8.log,8,completed,245,normal,46.655975,194,11,13,12.278350515463918
H77_T4_m8.log,8,completed,246,normal,46.329335,194,11,13,12.278350515463918
H77_T4_m8.log,8,completed,247,normal,46.689352,194,11,13,12.278350515463918
H77_T4_m8.log,8,completed,248,normal,46.759607,194,11,13,12.278350515463918
H77_T4_m8.log,8,completed,249,normal,46.696079,194,11,13,12.278350515463918
H77_T4_m8.log,8,completed,250,normal,46.066540,194,11,13,12.278350515463918
H77_T4_m16.log,16,completed,1,startup_combined,377.838561,,,,
H77_T4_m16.log,16,completed,2,normal,107.365000,194,15,17,15.989690721649485
H77_T4_m16.log,16,completed,3,normal,107.020276,194,15,17,16.010309278350515
H77_T4_m16.log,16,completed,4,normal,108.711239,194,15,17,15.927835051546392
H77_T4_m16.log,16,completed,5,normal,108.227116,194,15,17,15.75257731958763
H77_T4_m16.log,16,completed,6,normal,108.144537,194,15,17,15.515463917525773
