temperature,fail_epsilon,convergence_epsilon,singleset_t_epsilon,multiset_error_at_singleset_t_epsilon,multiset_converged
0.0,0.01,0.001,1.2164775540167523,6.862133219296609e-10,True
0.25,0.01,0.001,1.1624004269967783,2.6056095093808624e-07,True
0.5,0.01,0.001,1.131673276252029,2.3808461093374346e-06,True
1.0,0.01,0.001,1.052118264378507,2.854369760429473e-05,True
2.0,0.01,0.001,0.9470478234882639,0.00022529550304619048,True
4.0,0.01,0.001,0.8437428576108325,0.0008026202398441045,True
